# chữ	âm Hán Việt	nghĩa
织	chức	dệt
殴	ẩu	đánh
呕	ẩu	nôn
欧	âu	Âu
趴	ba	nằm sấp
斥	xích	bài xích
徘	bồi	bồi hồi
徊	hồi	bồi hồi
遣	khiển	sai phái
畔	bạn	bờ
番	phiên	lượt
攀	phan	trèo
庞	bàng	to lớn
旋	toàn	xoay
沫	mạt	bọt
抛	phao	ném
烹	phanh	nấu
饪	nhẫm	nấu
劈	phách	bổ
扁	biển	dẹt
偏	thiên	lệch
僻	tích	hẻo lánh
浮	phù	nổi
惫	bại	mệt mỏi
屁	thí	rắm
倦	quyện	mệt
拼	bính	ghép; liều
贫	bần	nghèo
屏	bình	màn hình
譬	thí	ví như
坡	pha	dốc
颇	pha	khá
魄	phách	khí phách
铺	phô	trải; cửa hàng
扑	phốc	lao vào
瀑	bộc	thác
掐	kháp	véo
恰	kháp	vừa đúng
扯	xả	kéo
劫	kiếp	cướp
潜	tiềm	tiềm
徙	tỉ	dời
逊	tốn	kém
谴	khiển	khiển trách
翘	kiều	vênh
梁	lương	xà
洽	hiệp	bàn bạc
锲	khiết	khắc
欺	khi	lừa
乞	khất	xin
丐	cái	ăn xin
迄	hất	đến nay
凄	thê	thê lương
氢	khinh	hy-đrô
澈	triệt	trong suốt
柬	giản	thiếp
帖	thiếp	thiếp
倾	khuynh	nghiêng
晰	tích	rõ
俭	kiệm	tiết kiệm
钦	khâm	khâm phục
旗	kỳ	cờ
袍	bào	áo dài
丘	khâu	gò
陵	lăng	lăng
岂	khởi	há
帜	xí	cờ
犬	khuyển	chó
赴	phó	đi tới
渠	cừ	kênh
缔	đế	kết
瘸	què	què
陷	hãm	sa vào
曲	khúc	cong; khúc
驱	khu	xua
饶	nhiêu	tha
恕	thứ	tha thứ
惹	nhạ	gây
祸	họa	họa
盈	doanh	đầy
眶	khuông	hốc mắt
仁	nhân	nhân
溶	dung	hòa tan
揉	nhu	xoa
若	nhược	nếu
撒	tát	rắc
谎	hoang	nói dối
腮	tai	má
嫂	tẩu	chị dâu
啥	xá	gì
筛	sư	sàng
擅	thiện	giỏi; tự ý
筋	cân	gân
烁	thước	lấp lánh
哨	tiếu	còi
捎	sao	mang giúp
梢	sao	ngọn
奢	xa	xa xỉ
侈	xỉ	xa xỉ
审	thẩm	thẩm tra
牲	sinh	gia súc
畜	súc	gia súc
疏	sơ	thưa
锈	tú	gỉ
圣	thánh	thánh
绅	thân	thân sĩ
渗	thấm	thấm
仙	tiên	tiên
呻	thân	rên
吟	ngâm	ngâm
氏	thị	họ
逝	thệ	qua đời
尸	thi	xác
竖	thụ	dựng
耍	sái	đùa
衰	suy	suy
涮	xoát	nhúng
胞	bào	bào
爽	sảng	sảng khoái
缚	phược	trói
泥	nê	bùn
斯	tư	này
惮	đạn	sợ
饲	tự	nuôi
肢	chi	chi
耸	tủng	nhô
艘	sưu	chiếc (tàu)
搜	sưu	tìm
隧	toại	hầm
讼	tụng	kiện
苏	tô	tỉnh lại
塌	tháp	sập
泰	thái	yên
葫	hồ	bầu
芦	lô	bầu
倘	thảng	nếu
瘫	than	liệt
痪	hoán	liệt
贪	tham	tham
婪	lam	tham
叹	thán	than
摊	than	quầy; trải
掏	đào	móc
陶	đào	gốm
瓷	từ	sứ
淘	đào	đãi
汰	thải	loại bỏ
滔	thao	cuồn cuộn
舔	thiểm	liếm
径	kính	đường tắt
伦	luân	luân
堂	đường	nhà; sảnh
剂	tễ	thuốc; liều
剔	dịch	gạt bỏ
衅	hấn	gây sự
滞	trệ	trì trệ
亭	đình	đình
掷	trịch	ném
秃	ngốc	hói
吞	thôn	nuốt
咽	yết	nuốt
妥	thỏa	thỏa đáng
唾	thóa	nước bọt
拖	tha	kéo
椭	thỏa	bầu dục
壤	nhưỡng	đất
哇	oa	oa
瓦	ngõa	ngói
挖	oạt	đào
掘	quật	đào
丸	hoàn	viên
顽	ngoan	bướng
妄	vọng	càn
挽	vãn	cứu vãn
惋	uyển	tiếc
娃	oa	bé
畏	úy	sợ
伪	ngụy	giả
雅	nhã	nhã
窝	oa	ổ
勿	vật	đừng
耻	sỉ	xấu hổ
蹈	đạo	giẫm; múa
衷	trung	lòng
乌	ô	đen; quạ
赖	lại	dựa; chối
侮	vũ	khinh
辱	nhục	nhục
侠	hiệp	hiệp
诬	vu	vu khống
溪	khê	suối
霞	hà	ráng
狭	hiệp	hẹp
隘	ải	hẹp
峡	giáp	eo biển
弦	huyền	dây
嫌	hiềm	ghét
宪	hiến	hiến pháp
巷	hạng	ngõ
镶	tương	khảm
嵌	khảm	khảm
镇	trấn	trấn
贤	hiền	hiền
衔	hàm	ngậm; chức
掀	hiên	lật
馅	hãm	nhân (bánh)
纤	tiêm	mảnh
肖	tiếu	giống
翼	dực	cánh
携	huề	mang
泄	tiết	rò rỉ
媳	tức	con dâu
膝	tất	đầu gối
袭	tập	tập kích
菌	khuẩn	khuẩn
熄	tức	tắt
腥	tinh	tanh
刑	hình	hình phạt
旺	vượng	vượng
勃	bột	bừng
郎	lang	chàng
薪	tân	lương
颖	dĩnh	mới mẻ
凶	hung	hung
膛	thang	ngực
昔	tích	xưa
牺	hy	hy sinh
嗅	khứu	ngửi
悦	duyệt	vui
悬	huyền	treo
崖	nhai	vách núi
霜	sương	sương
酗	hú	nghiện rượu
牧	mục	chăn
循	tuần	theo
巡	tuần	tuần tra
觅	mịch	tìm
熏	huân	hun
押	áp	giữ; áp giải
掩	yểm	che
沿	duyên	dọc theo
峻	tuấn	cao vút
淹	yêm	ngập
岩	nham	đá
晃	hoảng	lắc
遥	dao	xa
谣	dao	tin đồn
耀	diệu	chói
齿	xỉ	răng
抑	ức	kìm nén
榨	tạc	ép
拽	duệ	kéo
蛮	man	khá; man
亦	diệc	cũng
帆	phàm	buồm
毅	nghị	kiên nghị
隐	ẩn	ẩn
蔽	tế	che
婴	anh	trẻ sơ sinh
荧	huỳnh	huỳnh quang
瞒	man	giấu
擎	kình	nâng
仪	nghi	nghi thức
裳	thường	xiêm
苟	cẩu	cẩu thả
恒	hằng	hằng
庸	dung	tầm thường
踊	dũng	hăng hái
诱	dụ	dụ dỗ
腻	nị	ngấy
漆	tất	sơn
紊	vặn	rối
郁	uất	u uất
稚	trĩ	non nớt
愈	dũ	càng; khỏi
熨	uất	là (ủi)
粥	chúc	cháo
冤	oan	oan
枉	uổng	uổng
宵	tiêu	đêm
愚	ngu	ngu
蠢	xuẩn	ngu ngốc
岳	nhạc	núi; bố vợ
谱	phổ	phổ
舆	dư	dư luận
渔	ngư	đánh cá
蕴	uẩn	chứa đựng
酝	uấn	ủ
酿	nhưỡng	ủ
绒	nhung	nhung
欲	dục	muốn
兆	triệu	điềm
砸	tạp	đập
咋	trách	sao
宰	tể	giết mổ
栽	tài	trồng
遭	tao	gặp phải
蹋	đạp	giẫm
殃	ương	tai họa
噪	táo	ồn
贼	tặc	trộm
赠	tặng	tặng
眨	trát	chớp
扎	trát	đâm; cắm
渣	tra	bã
债	trái	nợ
券	khoán	phiếu
斩	trảm	chém
帐	trướng	lều
篷	bồng	mui, lều
沾	triêm	dính
崭	trảm	mới toanh
瞻	chiêm	nhìn
役	dịch	dịch vụ; phục dịch
蓬	bồng	bồng bềnh
沼	chiểu	đầm
泽	trạch	đầm
诈	trá	lừa
遮	già	che
蒸	chưng	hấp
郑	trịnh	Trịnh; trịnh trọng
侦	trinh	trinh sát
稀	hi	hiếm
珠	châu	ngọc trai
斟	châm	rót
酌	chước	cân nhắc
枝	chi	cành
撑	xanh	chống
脂	chi	mỡ
肪	phương	mỡ
援	viện	viện trợ
柱	trụ	cột
忠	trung	trung thành
肿	thũng	sưng
瘤	lựu	u
央	ương	trung ương
州	châu	châu
舟	chu	thuyền
皱	trứu	nhăn
昼	trú	ban ngày
拄	trụ	chống
株	chu	gốc cây
卸	tá	dỡ
庄	trang	trang trại
砖	chuyên	gạch
悼	điệu	thương tiếc
琢	trác	mài giũa
卓	trác	xuất sắc
诸	chư	các
铸	chú	đúc
驻	trú	đóng
宅	trạch	nhà
滋	tư	tẩm bổ
棕	tông	nâu
旨	chỉ	mục đích
揍	tấu	đánh
廊	lang	hành lang
钻	toàn	khoan
唇	thần	môi
赁	nhẫm	thuê
挠	nạo	gãi
铭	minh	ghi nhớ
